                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0219,                 4.4601,                 1.3112,                 0.5008,                0.58309,                0.52267,                0.36314,                0.85783,                 4.0529,                  1.164,               5.95e-06,               5.95e-06,               5.95e-06
                      2,                0.94447,                 3.6889,                 1.2554,                0.70728,                0.48578,                0.45463,                0.33878,                0.82814,                 3.2671,                 1.1737,             1.2226e-05,             1.2226e-05,             1.2226e-05
                      3,                0.86698,                 2.5004,                  1.213,                0.71982,                0.44928,                0.42291,                0.34824,                0.83244,                 2.2537,                 1.1889,              1.756e-05,              1.756e-05,              1.756e-05
                      4,                0.75224,                 1.8255,                 1.1561,                  0.751,                0.50725,                0.48188,                0.39587,                0.81067,                 1.6486,                 1.1718,             2.1951e-05,             2.1951e-05,             2.1951e-05
                      5,                0.89094,                  1.471,                 1.2292,                0.88324,                0.44451,                 0.5962,                0.46581,                0.81445,                 1.2088,                 1.1698,             2.5399e-05,             2.5399e-05,             2.5399e-05
                      6,                0.56294,                0.91637,                 1.0204,                0.65981,                0.62319,                0.56999,                0.42022,                0.82263,                 1.0245,                 1.1605,             2.7906e-05,             2.7906e-05,             2.7906e-05
                      7,                0.48372,                0.67327,                0.94841,                0.68313,                0.62681,                0.56988,                0.42205,                0.86245,                 1.0333,                 1.1661,             2.9469e-05,             2.9469e-05,             2.9469e-05
                      8,                0.61514,                0.63865,                 1.0225,                0.78413,                0.46377,                0.48572,                0.36162,                0.85962,                 1.0663,                 1.1507,              3.009e-05,              3.009e-05,              3.009e-05
                      9,                0.49911,                0.54954,                 0.9555,                0.77682,                0.43779,                0.48365,                0.37942,                0.86279,                 1.0583,                 1.1412,             2.9769e-05,             2.9769e-05,             2.9769e-05
                     10,                0.69946,                0.60395,                 1.1139,                0.76135,                0.39285,                0.48459,                0.39004,                0.85849,                 1.0342,                 1.1376,             2.8505e-05,             2.8505e-05,             2.8505e-05
                     11,                0.51232,                0.47528,                0.95669,                 0.7515,                0.36685,                0.44354,                 0.3485,                0.84542,                 0.9986,                 1.1245,             2.6299e-05,             2.6299e-05,             2.6299e-05
                     12,                0.59014,                0.49464,                 1.0028,                0.75413,                0.36544,                0.45726,                  0.339,                0.83334,                0.96963,                 1.1128,              2.315e-05,              2.315e-05,              2.315e-05
                     13,                0.49847,                0.43304,                0.92446,                0.75326,                0.36126,                0.45774,                0.33598,                0.83276,                0.96016,                 1.1094,             1.9059e-05,             1.9059e-05,             1.9059e-05
                     14,                0.43721,                 0.4331,                0.88582,                0.75117,                0.35422,                0.43547,                0.32928,                0.83056,                0.96398,                  1.106,             1.4025e-05,             1.4025e-05,             1.4025e-05
                     15,                0.52071,                0.46491,                0.95003,                0.75217,                0.35513,                0.43042,                0.32365,                0.82933,                0.96721,                 1.1031,             8.0492e-06,             8.0492e-06,             8.0492e-06
